district_id,state,district,lat,lon,population,female_population,literacy_rate,urban_share,census_match_quality,Rape,Kidnapping_&_Abduction,Dowry_Deaths,Assault_on_women_with_intent_to_outrage_her_modesty,Insult_to_modesty_of_Women,Cruelty_by_Husband_or_his_Relatives,Importation_of_Girls,total_2001
65,ASSAM,NAGAON,26.26462171,92.93061911,2823768.0,1384656.0,0.6058273909188007,0.15539080438196412,exact,51,109,1,113,4,132,0,410
66,ASSAM,NALBARI,26.46323768,91.40598521,771639.0,375633.0,0.6891447943921963,0.11817831793223517,exact,30,27,3,16,0,15,0,91
67,ASSAM,R.P.O.,26.299230679166666,92.65336424125,1248801.4090909092,610926.4545454546,0.6090657620028455,0.135746065872376,unmatched,3,0,0,0,0,0,0,3
68,ASSAM,SIBSAGAR,27.0276287,94.90025848,1151050.0,561834.0,0.7067503583684462,0.11116430462775369,fuzzy,47,64,0,28,0,0,0,139
69,ASSAM,SONITPUR,26.73514927,92.85197805,1924110.0,940206.0,0.576147933330215,0.11778342000500135,exact,53,80,1,43,0,99,0,276
70,ASSAM,TINSUKIA,27.53549291,95.69055949,1327929.0,647698.0,0.6011782256430879,0.23822501270917734,exact,41,48,2,9,0,21,0,121
71,BIHAR,ARARIA,26.21152812,87.30766555,2811569.0,1348236.0,0.4253027402137383,0.06286738881289512,exact,93,13,11,3,0,50,0,170
72,BIHAR,ARWAL,25.1643,84.6688,700843.0,337346.0,0.5512661180892154,0.06902573911597155,exact,0,0,7,11,0,14,0,32
73,BIHAR,AURANGABAD,24.77429187,84.45986024,2540073.0,1221389.0,0.5771495543632014,0.10267401638811893,exact,16,4,33,13,2,19,0,87
74,BIHAR,BAGAHA,27.1222,84.0722,2738128.2702702703,1310648.2972972973,0.5067306581672985,0.11772226445831367,unmatched,25,6,0,4,0,2,0,37
75,BIHAR,BANKA,24.83235564,86.86649163,2034763.0,967623.0,0.47441446497700224,0.04163964548205793,exact,34,10,9,0,0,16,0,69
76,BIHAR,BEGUSARAI,25.54302613,86.12560144,2970541.0,1402881.0,0.5213437552284247,0.18980814448798775,exact,13,7,21,32,0,21,0,94
77,BIHAR,BETTIAH,26.8028,84.517,2738128.2702702703,1310648.2972972973,0.5067306581672985,0.11772226445831367,unmatched,20,23,17,23,0,54,8,145
78,BIHAR,BHABHUA,25.0426,83.6056,2738128.2702702703,1310648.2972972973,0.5067306581672985,0.11772226445831367,unmatched,10,12,8,7,0,22,0,59
79,BIHAR,BHAGALPUR,25.27719289,87.04213814,3037766.0,1422103.0,0.5178364627163514,0.20000275582896102,exact,35,9,20,15,0,52,0,131
80,BIHAR,BHOJPUR,25.50666439,84.49407803,2728407.0,1298027.0,0.5861116028510409,0.15113092296362568,exact,22,13,23,0,4,29,0,91
81,BIHAR,BUXAR,25.48593019,84.08808082,1706352.0,818375.0,0.5800719898356259,0.10579488849777534,exact,8,1,15,0,0,0,0,24
82,BIHAR,DARBHANGA,26.14618772,85.97387352,3937385.0,1877436.0,0.4613808403293049,0.0952805039926679,exact,19,16,37,40,0,34,0,146
83,BIHAR,GAYA,24.72665415,84.94291218,4391418.0,2124852.0,0.5232052608064184,0.1377984102945747,exact,25,15,26,27,0,24,0,117
84,BIHAR,GOPALGANJ,26.44874364,84.34636127,2562012.0,1294346.0,0.5398093373489273,0.0688249244663916,exact,13,18,22,0,2,155,0,210
85,BIHAR,JAMALPUR RLY.,25.3137,86.4906,2738128.2702702703,1310648.2972972973,0.5067306581672985,0.11772226445831367,unmatched,1,0,0,1,0,1,0,3
86,BIHAR,JAMUI,24.7841838,86.26316298,1760405.0,844341.0,0.4877218594584769,0.08647550173786299,exact,10,1,16,8,0,15,0,50
87,BIHAR,JEHANABAD,25.15567905,84.92081245,1125313.0,539731.0,0.5499634323961422,0.13097322060411934,exact,6,5,25,0,0,4,0,40
